scanned_id,shelf_id,isbn_13,isbn_10,gbooks_id,gbooks_href,title,subtitle,author,all_authors,category,all_categories,loc_number,loc_href
"9780618706419","Fict-TimO'B-TheThingsT-9780618706419","9780618706419","0618706410","dEmrDwAAQBAJ","https://www.google.com/search?tbm=bks&q=isbn:9780618706419","The Things They Carried","A Work of Fiction","Tim O'Brien","Tim O'Brien","Fiction","Fiction","","https://www.loc.gov/search?q=9780618706419"
"9781984854278","Cond-Lin-Ma-Gmorning,G-9781984854278","9781984854278","1984854275","PQlwDwAAQBAJ","https://www.google.com/search?tbm=bks&q=isbn:9781984854278","Gmorning, Gnight!","Little Pep Talks for Me & You","Lin-Manuel Miranda","Lin-Manuel Miranda","Conduct of life","Conduct of life","","https://www.loc.gov/search?q=9781984854278"
"9780451163936","Phil-AynRan-TheVirtueo-9780451163936","9780451163936","0451163931","vtGzoVxe0REC","https://www.google.com/search?tbm=bks&q=isbn:9780451163936","The Virtue of Selfishness","A New Concept of Egoism","Ayn Rand","Ayn Rand;Nathaniel Branden","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780451163936"
"9781593080549","Fict-Robert-TheStrange-9781593080549","9781593080549","1593080549","6JPHwAEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9781593080549","The Strange Case of Dr. Jekyll and Mr. Hyde and Other Stories","","Robert Louis Stevenson","Robert Louis Stevenson","Fiction","Fiction","","https://www.loc.gov/search?q=9781593080549"
"9781577315933","Psyc-Joseph-TheHerowit-9781577315933","9781577315933","1577315936","G8rewAEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9781577315933","The Hero with a Thousand Faces","","Joseph Campbell","Joseph Campbell","Psychology","Psychology","","https://www.loc.gov/search?q=9781577315933"
"9780671882365","Educ-Daniel-WhatJaneAu-9780671882365","9780671882365","0671882368","HKj8jUM630EC","https://www.google.com/search?tbm=bks&q=isbn:9780671882365","What Jane Austen Ate and Charles Dickens Knew","From Fox Hunting to Whist-the Facts of Daily Life in Nineteenth-Century England","Daniel Pool","Daniel Pool","Education","Education","","https://www.loc.gov/search?q=9780671882365"
"9780871407108","---9780871407108","","","","https://www.google.com/search?tbm=bks&q=isbn:9780871407108","","","","","","","","https://www.loc.gov/search?q=9780871407108"
"9780618689118","---9780618689118","","","","https://www.google.com/search?tbm=bks&q=isbn:9780618689118","","","","","","","","https://www.loc.gov/search?q=9780618689118"
"9780226240077","---9780226240077","","","","https://www.google.com/search?tbm=bks&q=isbn:9780226240077","","","","","","","","https://www.loc.gov/search?q=9780226240077"
"9780520294356","Lang-ErikaB-TheCopyedi-9780520294356","9780520294356","0520294351","kAuIDwAAQBAJ","https://www.google.com/search?tbm=bks&q=isbn:9780520294356","The Copyeditor's Workbook","Exercises and Tips for Honing Your Editorial Judgment","Erika Buky","Erika Buky;Marilyn Schwartz;Amy Einsohn","Language Arts & Disciplines","Language Arts & Disciplines","","https://www.loc.gov/search?q=9780520294356"
"9780393931501","Fict-grafLe-Tolstoy'sS-9780393931501","9780393931501","0393931501","m7c9PwAACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780393931501","Tolstoy's Short Fiction","Revised Translations, Backgrounds and Sources, Criticism","graf Leo Tolstoy","graf Leo Tolstoy","Fiction","Fiction","","https://www.loc.gov/search?q=9780393931501"
"9781593080587","Fict-Fyodor-TheIdiot-9781593080587","9781593080587","1593080581","JOcWEAAAQBAJ","https://www.google.com/search?tbm=bks&q=isbn:9781593080587","The Idiot","","Fyodor Dostoyevsky","Fyodor Dostoyevsky","Fiction","Fiction","","https://www.loc.gov/search?q=9781593080587"
